OBJECTID,Shape,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,SOURCE_REPORTING_UNIT,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
1908,b'\x00\x01\xad\x10\x00\x00(d\xf3\xe0J.^\xc0\xa0\xe0`\xb1\xfexC@(d\xf3\xe0J.^\xc0\xa0\xe0`\xb1\xfexC@|\x01\x00\x00\x00(d\xf3\xe0J.^\xc0\xa0\xe0`\xb1\xfexC@\xfe',1923,FS-1423007,FED,FS-FIRESTAT,FS,USCAENF,503,31,008,B5QH,WENTWORTH,,,,,,2005,9/2/2005,245,1031.0,Human,Equipment and vehicle use,,9/2/2005,245.0,1044.0,0.1,A,38.94527778,-120.72333333,STATE OR PRIVATE,CA,,,
1911,b'\x00\x01\xad\x10\x00\x00\xc4\xa7\x9f\xee\xbe0^\xc0\xa0\xfb\xff\xc6\x8buC@\xc4\xa7\x9f\xee\xbe0^\xc0\xa0\xfb\xff\xc6\x8buC@|\x01\x00\x00\x00\xc4\xa7\x9f\xee\xbe0^\xc0\xa0\xfb\xff\xc6\x8buC@\xfe',1926,FS-1423013,FED,FS-FIRESTAT,FS,USCAENF,503,32,9,B5W2,BALDERSON,,,,,,2005,9/4/2005,247,2150.0,Human,Arson/incendiarism,,9/5/2005,248.0,1100.0,0.3,B,38.91833333,-120.76166667,USFS,CA,,,
1914,b'\x00\x01\xad\x10\x00\x00\xe0\x06\x0f\xe2)3^\xc0\xe8\x9c\xdfj\xfcrC@\xe0\x06\x0f\xe2)3^\xc0\xe8\x9c\xdfj\xfcrC@|\x01\x00\x00\x00\xe0\x06\x0f\xe2)3^\xc0\xe8\x9c\xdfj\xfcrC@\xfe',1929,FS-1423017,FED,FS-FIRESTAT,FS,USCAENF,503,36,10,B58V,SHOEMAKER,,,,,,2005,9/6/2005,249,1750.0,Human,Debris and open burning,,9/6/2005,249.0,1949.0,0.1,A,38.89833333,-120.79944444,STATE OR PRIVATE,CA,,,
1917,b'\x00\x01\xad\x10\x00\x00P\x14@\x15]:^\xc0\xf0\x8e\x1d\xa5icC@P\x14@\x15]:^\xc0\xf0\x8e\x1d\xa5icC@|\x01\x00\x00\x00P\x14@\x15]:^\xc0\xf0\x8e\x1d\xa5icC@\xfe',1932,FS-1423022,FED,FS-FIRESTAT,FS,USCAENF,503,39,11,B6QK,GREY,,,,,,2005,9/18/2005,261,1133.0,Human,Debris and open burning,,9/18/2005,261.0,1150.0,0.1,A,38.77666667,-120.91194444,STATE OR PRIVATE,CA,,,
2450,b'\x00\x01\xad\x10\x00\x00\x88\x91\x99\xc9\xff\x0f^\xc0\xa8\xdb\xe8\xef\xe7DC@\x88\x91\x99\xc9\xff\x0f^\xc0\xa8\xdb\xe8\xef\xe7DC@|\x01\x00\x00\x00\x88\x91\x99\xc9\xff\x0f^\xc0\xa8\xdb\xe8\xef\xe7DC@\xfe',2465,FS-1424241,FED,FS-FIRESTAT,FS,USCAENF,503,5,005,BW41,SUGAR,,,,,,2005,6/29/2005,180,1300.0,Human,Recreation and ceremony,,6/29/2005,180.0,1500.0,0.1,A,38.53833333,-120.25,USFS,CA,,,
2457,b'\x00\x01\xad\x10\x00\x00lP\xddW\xe3\x0c^\xc0\x88\x97\xb0\x9bqDC@lP\xddW\xe3\x0c^\xc0\x88\x97\xb0\x9bqDC@|\x01\x00\x00\x00lP\xddW\xe3\x0c^\xc0\x88\x97\xb0\x9bqDC@\xfe',2472,FS-1424257,FED,FS-FIRESTAT,FS,USCAENF,503,16,005,B3V6,BEAR,,,,,,2005,8/10/2005,222,1800.0,Human,Recreation and ceremony,,8/10/2005,222.0,2100.0,0.1,A,38.53472222,-120.20138889,USFS,CA,,,
2460,b'\x00\x01\xad\x10\x00\x00$\xfcqL-\x10^\xc0x\xfd\xf21nGC@$\xfcqL-\x10^\xc0x\xfd\xf21nGC@|\x01\x00\x00\x00$\xfcqL-\x10^\xc0x\xfd\xf21nGC@\xfe',2475,FS-1424262,FED,FS-FIRESTAT,FS,USCAENF,503,22,06,BE0D,UPPER,,,,,,2005,8/16/2005,228,1630.0,Natural,Natural,,8/18/2005,230.0,1800.0,0.25,A,38.55805556,-120.25277778,STATE OR PRIVATE,CA,,,
2463,b'\x00\x01\xad\x10\x00\x004\xdb\r\x89X\xfa]\xc0hR\xf8C^5C@4\xdb\r\x89X\xfa]\xc0hR\xf8C^5C@|\x01\x00\x00\x004\xdb\r\x89X\xfa]\xc0hR\xf8C^5C@\xfe',2478,FS-1424266,FED,FS-FIRESTAT,FS,USCAENF,503,23,7,BE0D,CLOVER,,,,,,2005,8/17/2005,229,1020.0,Natural,Natural,,8/24/2005,236.0,1600.0,3.5,B,38.41694444,-119.91166667,USFS,CA,,,
2464,"b'\x00\x01\xad\x10\x00\x00,c\xd5\xe3\x08\x0c^\xc0\x18\x06\xe9R\xb1DC@,c\xd5\xe3\x08\x0c^\xc0\x18\x06\xe9R\xb1DC@|\x01\x00\x00\x00,c\xd5\xe3\x08\x0c^\xc0\x18\x06\xe9R\xb1DC@\xfe'",2479,FS-1424270,FED,FS-FIRESTAT,FS,USCAENF,503,27,8,B49G,COLE,,,,,,2005,8/26/2005,238,1500.0,Human,Recreation and ceremony,,8/26/2005,238.0,1600.0,0.1,A,38.53666667,-120.18805556,USFS,CA,,,
2467,b'\x00\x01\xad\x10\x00\x00\xfc=\xcc\xec\x00\x13^\xc00s}6\xeaJC@\xfc=\xcc\xec\x00\x13^\xc00s}6\xeaJC@|\x01\x00\x00\x00\xfc=\xcc\xec\x00\x13^\xc00s}6\xeaJC@\xfe',2482,FS-1424273,FED,FS-FIRESTAT,FS,USCAENF,503,28,9,B5DN,CAT,,,,,,2005,8/28/2005,240,1300.0,Human,Recreation and ceremony,,8/28/2005,240.0,1325.0,0.1,A,38.58527778,-120.29694444,USFS,CA,,,
2468,"b'\x00\x01\xad\x10\x00\x00\xa0,\xd76\xa0\x0b^\xc0\xc8\xec\x97\x82GQC@\xa0,\xd76\xa0\x0b^\xc0\xc8\xec\x97\x82GQC@|\x01\x00\x00\x00\xa0,\xd76\xa0\x0b^\xc0\xc8\xec\x97\x82GQC@\xfe'",2483,FS-1424274,FED,FS-FIRESTAT,FS,USCAENF,503,42,10,BE0D,MAIDEN,,,,,,2005,9/27/2005,270,800.0,Natural,Natural,,9/27/2005,270.0,1700.0,0.1,A,38.635,-120.18166667,USFS,CA,,,
2644,b'\x00\x01\xad\x10\x00\x00\xa8\xc8\x90\x7f`\x13^\xc0\xf0z\x98yORC@\xa8\xc8\x90\x7f`\x13^\xc0\xf0z\x98yORC@|\x01\x00\x00\x00\xa8\xc8\x90\x7f`\x13^\xc0\xf0z\x98yORC@\xfe',2660,FS-1424638,FED,FS-FIRESTAT,FS,USCAENF,503,10,1,B0SG,BUCKSKIN,,,,,,2005,7/17/2005,198,1000.0,Human,Recreation and ceremony,,7/17/2005,198.0,1230.0,0.1,A,38.64305556,-120.30277778,USFS,CA,,,
2646,"b'\x00\x01\xad\x10\x00\x00\xf4A,!\x13\x13^\xc00qM\x1c\xe1JC@\xf4A,!\x13\x13^\xc00qM\x1c\xe1JC@|\x01\x00\x00\x00\xf4A,!\x13\x13^\xc00qM\x1c\xe1JC@\xfe'",2662,FS-1424643,FED,FS-FIRESTAT,FS,USCAENF,503,14,04,B28D,MIDDLE FORK,,,,,,2005,8/4/2005,216,1400.0,Human,Smoking,,8/4/2005,216.0,1505.0,0.1,A,38.585,-120.29805556,USFS,CA,,,
2649,b'\x00\x01\xad\x10\x00\x00\xec\xaa#!\x13\x0b^\xc0p\x87\xb6k\xdbgC@\xec\xaa#!\x13\x0b^\xc0p\x87\xb6k\xdbgC@|\x01\x00\x00\x00\xec\xaa#!\x13\x0b^\xc0p\x87\xb6k\xdbgC@\xfe',2665,FS-1424647,FED,FS-FIRESTAT,FS,USCAENF,503,19,04,BE0D,FORNI,,,,,,2005,8/16/2005,228,655.0,Natural,Natural,,8/16/2005,228.0,1700.0,0.1,A,38.81138889,-120.17305556,USFS,CA,,,
2650,b'\x00\x01\xad\x10\x00\x00\x04XSu\x89\x0b^\xc0H4\xd4\xd7\x9cfC@\x04XSu\x89\x0b^\xc0H4\xd4\xd7\x9cfC@|\x01\x00\x00\x00\x04XSu\x89\x0b^\xc0H4\xd4\xd7\x9cfC@\xfe',2666,FS-1424650,FED,FS-FIRESTAT,FS,USCAENF,503,21,05,BE0D,STRAWBERRY,,,,,,2005,8/16/2005,228,700.0,Natural,Natural,,8/16/2005,228.0,1615.0,0.1,A,38.80166667,-120.18027778,USFS,CA,,,
2977,b'\x00\x01\xad\x10\x00\x00\x04oY\xcfZ\x04^\xc0\xe0\xfc.\x88\xa2YC@\x04oY\xcfZ\x04^\xc0\xe0\xfc.\x88\xa2YC@|\x01\x00\x00\x00\x04oY\xcfZ\x04^\xc0\xe0\xfc.\x88\xa2YC@\xfe',2995,FS-1425292,FED,FS-FIRESTAT,FS,USCAENF,503,9,03,B0ER,KIRKWOOD,,,,,,2005,7/14/2005,195,2205.0,Human,Missing data/not specified/undetermined,,7/14/2005,195.0,2359.0,0.1,A,38.70027778,-120.06805556,USFS,CA,,,
2979,b'\x00\x01\xad\x10\x00\x00T\xbe\xb5\xb3r\x1f^\xc0\x90\xd06n\x99aC@T\xbe\xb5\xb3r\x1f^\xc0\x90\xd06n\x99aC@|\x01\x00\x00\x00T\xbe\xb5\xb3r\x1f^\xc0\x90\xd06n\x99aC@\xfe',2997,FS-1425294,FED,FS-FIRESTAT,FS,USCAENF,503,38,08,P6FU,HAZEL,,,,,,2005,9/12/2005,255,1130.0,Human,Recreation and ceremony,,9/12/2005,255.0,1300.0,0.1,A,38.7625,-120.49138889,STATE OR PRIVATE,CA,,,
2980,b'\x00\x01\xad\x10\x00\x00Pix>\xb9!^\xc0\x88`\xc2Y\xebaC@Pix>\xb9!^\xc0\x88`\xc2Y\xebaC@|\x01\x00\x00\x00Pix>\xb9!^\xc0\x88`\xc2Y\xebaC@\xfe',2998,FS-1425295,FED,FS-FIRESTAT,FS,USCAENF,503,30,06,B5P2,SILVER,,,,,,2005,9/2/2005,245,730.0,Human,Missing data/not specified/undetermined,,9/2/2005,245.0,810.0,0.1,A,38.765,-120.52694444,USFS,CA,,,
2983,b'\x00\x01\xad\x10\x00\x00\xe8\xba}wG!^\xc0X\x0bC\xe9\xadGC@\xe8\xba}wG!^\xc0X\x0bC\xe9\xadGC@|\x01\x00\x00\x00\xe8\xba}wG!^\xc0X\x0bC\xe9\xadGC@\xfe',3001,FS-1425301,FED,FS-FIRESTAT,FS,USCAENF,503,35,11,B5V3,BARNEY,,,,,,2005,9/4/2005,247,1515.0,Human,Debris and open burning,,9/4/2005,247.0,1841.0,0.25,A,38.56,-120.52,MISSING/NOT SPECIFIED,CA,,,
3273,b'\x00\x01\xad\x10\x00\x00\x18\xca\x98\xa1\x82\r^\xc0\x08\xc9\xca\xe8\xadwC@\x18\xca\x98\xa1\x82\r^\xc0\x08\xc9\xca\xe8\xadwC@|\x01\x00\x00\x00\x18\xca\x98\xa1\x82\r^\xc0\x08\xc9\xca\xe8\xadwC@\xfe',3291,FS-1425803,FED,FS-FIRESTAT,FS,USCAENF,503,24,06,B4H6,SCHMIDELL,,,,,,2005,8/17/2005,229,1230.0,Natural,Natural,,9/2/2005,245.0,1800.0,0.1,A,38.935,-120.21111111,USFS,CA,,,
3276,"b""\x00\x01\xad\x10\x00\x00\xe80\xeaP\xa9\x07^\xc0\xe0F'>\x03mC@\xe80\xeaP\xa9\x07^\xc0\xe0F'>\x03mC@|\x01\x00\x00\x00\xe80\xeaP\xa9\x07^\xc0\xe0F'>\x03mC@\xfe""",3294,FS-1425808,FED,FS-FIRESTAT,FS,USCAENF,503,25,007,BE0D,ALOHA,,,,,,2005,8/15/2005,227,1759.0,Natural,Natural,,9/1/2005,244.0,1800.0,0.1,A,38.85166667,-120.11972222,USFS,CA,,,
3282,b'\x00\x01\xad\x10\x00\x00\x80P~U%\x07^\xc0\xe0;J\xf5BmC@\x80P~U%\x07^\xc0\xe0;J\xf5BmC@|\x01\x00\x00\x00\x80P~U%\x07^\xc0\xe0;J\xf5BmC@\xfe',3300,FS-1425814,FED,FS-FIRESTAT,FS,USCAENF,503,26,008,B4V4,HAYPRESS,,,,,,2005,8/21/2005,233,1610.0,Natural,Natural,,9/1/2005,244.0,1800.0,0.25,A,38.85361111,-120.11166667,USFS,CA,,,
3824,b'\x00\x01\xad\x10\x00\x00\xd4\xf7\xf6\xbb\x8b\r^\xc0P\xfc5\x7f\xaaJC@\xd4\xf7\xf6\xbb\x8b\r^\xc0P\xfc5\x7f\xaaJC@|\x01\x00\x00\x00\xd4\xf7\xf6\xbb\x8b\r^\xc0P\xfc5\x7f\xaaJC@\xfe',3843,FS-1426729,FED,FS-FIRESTAT,FS,USCAENF,503,41,12,BE0D,BEAR #2,,,,,,2005,9/21/2005,264,900.0,Natural,Natural,,9/21/2005,264.0,1800.0,0.1,A,38.58333333,-120.21166667,USFS,CA,,,
